"Participation rate, Australia, August 1966 to January 2024, Seasonally adjusted"
"Mar-14","64.7","70.9","58.8"
"Apr-14","64.7","71.0","58.5"
"May-14","64.6","70.7","58.6"
"Jun-14","64.7","70.9","58.7"
"Jul-14","64.8","71.0","58.7"
"Aug-14","64.7","70.9","58.6"
"Sep-14","64.7","70.8","58.8"
"Oct-14","64.7","70.8","58.7"
"Nov-14","64.5","71.1","58.2"
"Dec-14","64.6","70.8","58.6"
"Jan-15","64.8","71.1","58.6"
"Feb-15","64.9","71.2","58.8"
"Mar-15","64.9","71.3","58.6"
"Apr-15","64.8","71.1","58.7"
"May-15","64.8","71.0","58.9"
"Jun-15","64.8","70.8","58.9"
"Jul-15","65.1","71.1","59.3"
"Aug-15","64.9","70.9","59.1"
"Sep-15","65.0","71.0","59.2"
"Oct-15","65.2","71.1","59.4"
"Nov-15","65.2","70.9","59.7"
"Dec-15","65.1","70.9","59.5"
"Jan-16","65.3","71.3","59.4"
"Feb-16","65.0","70.7","59.4"
"Mar-16","64.9","70.8","59.3"
"Apr-16","64.9","70.5","59.4"
"May-16","64.8","70.6","59.3"
"Jun-16","64.9","70.4","59.6"
"Jul-16","65.0","70.6","59.5"
"Aug-16","64.7","70.4","59.1"
"Sep-16","64.5","70.1","59.1"
"Oct-16","64.5","70.3","59.0"
"Nov-16","64.7","70.3","59.3"
"Dec-16","64.8","70.5","59.3"
"Jan-17","64.7","70.3","59.4"
"Feb-17","64.7","70.4","59.2"
"Mar-17","64.9","70.5","59.5"
"Apr-17","64.9","70.6","59.4"
"May-17","64.9","70.6","59.5"
"Jun-17","65.1","70.6","59.8"
"Jul-17","65.2","70.8","59.7"
"Aug-17","65.3","70.8","60.0"
"Sep-17","65.4","70.8","60.1"
"Oct-17","65.3","70.6","60.1"
"Nov-17","65.5","70.9","60.3"
"Dec-17","65.8","71.1","60.6"
"Jan-18","65.8","71.3","60.6"
"Feb-18","65.7","71.0","60.5"
"Mar-18","65.6","70.8","60.5"
"Apr-18","65.6","70.9","60.5"
"May-18","65.4","70.7","60.3"
"Jun-18","65.7","71.0","60.5"
"Jul-18","65.5","71.0","60.3"
"Aug-18","65.7","71.1","60.4"
"Sep-18","65.5","70.9","60.3"
"Oct-18","65.5","70.9","60.4"
"Nov-18","65.7","71.0","60.5"
"Dec-18","65.6","71.0","60.5"
"Jan-19","65.8","71.0","60.7"
"Feb-19","65.5","70.8","60.5"
"Mar-19","65.7","70.9","60.6"
"Apr-19","65.9","71.0","61.0"
"May-19","66.0","71.5","60.6"
"Jun-19","66.0","71.3","60.8"
"Jul-19","66.1","71.4","60.9"
"Aug-19","66.2","71.4","61.2"
"Sep-19","66.2","71.3","61.2"
"Oct-19","65.9","70.9","61.1"
"Nov-19","65.9","70.9","61.1"
"Dec-19","65.9","70.9","61.1"
"Jan-20","66.1","70.8","61.5"
"Feb-20","65.8","70.8","61.1"
"Mar-20","65.8","70.7","61.1"
"Apr-20","63.6","68.8","58.4"
"May-20","62.5","67.9","57.3"
"Jun-20","64.0","69.1","59.0"
"Jul-20","64.7","69.8","59.8"
"Aug-20","65.0","70.0","60.2"
"Sep-20","64.9","69.9","60.1"
"Oct-20","65.7","70.8","60.8"
"Nov-20","66.0","70.9","61.3"
"Dec-20","66.0","71.0","61.3"
"Jan-21","66.1","71.2","61.2"
"Feb-21","66.0","71.0","61.2"
"Mar-21","66.2","70.9","61.7"
"Apr-21","66.0","70.8","61.2"
"May-21","66.1","70.9","61.5"
"Jun-21","66.2","71.1","61.4"
"Jul-21","66.1","70.9","61.4"
"Aug-21","65.3","70.2","60.5"
"Sep-21","64.7","69.5","60.0"
"Oct-21","64.7","69.7","59.9"
"Nov-21","66.1","70.7","61.7"
"Dec-21","66.2","70.9","61.6"
"Jan-22","66.3","70.7","62.2"
"Feb-22","66.5","70.9","62.3"
"Mar-22","66.4","70.9","62.1"
